City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Puerto Ayora,-0.74,78.51,100,80,9.33
Karratha,-20.74,115.68,11,0,7.87
Marsh Harbour,26.54,70.77,100,80,26.44
Grindavik,63.84,27.34,74,75,16.11
Mataura,-46.19,72.07,46,12,7.65
Hermanus,-34.42,63.84,97,88,5.03
Butaritari,3.07,85.08,99,24,17.67
Eganville,45.54,15.8,72,90,8.05
Ostersund,63.18,8.6,78,88,6.93
Hami,42.84,23.47,86,48,4.25
Aste,45.79,31.08,100,75,4.7
Hilo,19.71,75.02,73,20,4.7
Gizo,31.8,46.72,75,0,6.93
Mataura,-46.19,72.07,46,12,7.65
Touros,-5.2,78.8,88,75,4.7
Aykhal,65.95,-26.93,39,68,6.6
Mehamn,71.03,11.95,88,0,9.55
Lebu,8.96,48.2,45,0,3.36
Tarko-Sale,64.92,-31.57,55,20,6.87
Mataura,-46.19,72.07,46,12,7.65
Plover,44.46,32.0,100,90,12.46
Hobart,-42.88,73.4,60,20,19.46
Rikitea,-23.12,80.94,100,44,8.61
Esperance,10.24,69.8,94,20,4.92
Takapau,-40.02,66.54,57,0,11.68
Bluff,-23.58,83.59,54,92,18.39
Butaritari,3.07,85.08,99,24,17.67
Ribeira Grande,38.52,62.04,98,92,15.66
Saskylakh,71.97,-24.46,37,56,9.17
Port Alfred,-33.59,71.94,94,12,6.04
Milkovo,41.53,42.33,100,80,2.51
Quelimane,-17.88,77.0,94,20,2.24
Rikitea,-23.12,80.94,100,44,8.61
Khor,47.88,18.57,70,88,4.74
Ushuaia,-54.81,53.6,76,40,26.4
Rikitea,-23.12,80.94,100,44,8.61
Ushuaia,-54.81,53.6,76,40,26.4
Tura,25.52,71.4,70,0,2.35
Shenzhen,22.54,72.79,73,20,6.93
Rikitea,-23.12,80.94,100,44,8.61
Punta Arenas,-53.16,53.6,81,40,9.17
Muroto,33.37,48.2,61,75,8.05
Pevek,69.7,-3.58,88,80,17.67
Mataura,-46.19,72.07,46,12,7.65
Punta Arenas,-53.16,53.6,81,40,9.17
Sitka,37.17,55.65,61,0,17.94
Port Macquarie,-31.43,86.0,51,0,19.46
Tateyama,36.66,51.8,32,75,11.41
Butaritari,3.07,85.08,99,24,17.67
Mataura,-46.19,72.07,46,12,7.65
Hobart,-42.88,73.4,60,20,19.46
Jamestown,-33.21,95.16,36,32,5.26
Balaipungut,1.11,84.63,86,44,3.51
Jamestown,-33.21,95.16,36,32,5.26
Ushuaia,-54.81,53.6,76,40,26.4
Okhotsk,59.36,14.52,88,80,4.29
Rikitea,-23.12,80.94,100,44,8.61
Isangel,-19.55,75.04,100,92,7.83
Hermanus,-34.42,63.84,97,88,5.03
Mataura,-46.19,72.07,46,12,7.65
Dikson,73.51,-0.25,91,68,13.58
Vaitape,-16.52,80.85,100,92,8.39
Port Alfred,-33.59,71.94,94,12,6.04
Mataura,-46.19,72.07,46,12,7.65
Bongaree,-27.08,82.4,54,75,14.99
Port Alfred,-33.59,71.94,94,12,6.04
Busselton,-33.64,74.14,81,0,13.69
Kapaa,22.08,74.62,70,90,17.22
Ostrovnoy,68.05,2.28,87,56,8.61
Punta Arenas,-53.16,53.6,81,40,9.17
Busselton,-33.64,74.14,81,0,13.69
Saint-Philippe,45.36,10.53,90,1,2.8
New Norfolk,-42.78,73.4,60,20,19.46
Busselton,-33.64,74.14,81,0,13.69
Ushuaia,-54.81,53.6,76,40,26.4
Oyama,36.31,55.4,50,40,8.05
Portland,45.52,45.73,76,90,5.82
Fortuna,38.18,48.2,42,0,26.4
Kirakira,-10.46,84.27,100,44,15.1
Rikitea,-23.12,80.94,100,44,8.61
Kahului,20.89,69.82,100,90,13.87
Hasaki,35.73,56.12,47,20,6.93
Buritis,-15.62,74.64,59,80,2.06
Jamestown,-33.21,95.16,36,32,5.26
Sampit,-2.54,86.2,87,24,4.52
Georgetown,6.8,75.0,90,92,4.59
Praia,-20.25,77.0,50,0,5.82
Klaksvik,62.23,26.6,68,36,5.82
Chaman,30.92,48.0,81,32,3.24
Mataura,-46.19,72.07,46,12,7.65
Mahebourg,-20.41,82.4,74,75,1.12
Alofi,-19.06,82.4,74,76,13.87
Provideniya,64.42,30.18,93,88,25.5
Ushuaia,-54.81,53.6,76,40,26.4
Albany,42.65,29.86,74,90,8.05
Jamestown,-33.21,95.16,36,32,5.26
Chokurdakh,70.62,-32.33,57,44,3.06
Alofi,-19.06,82.4,74,76,13.87
Cidreira,-30.17,70.59,97,92,8.61
Bluff,-23.58,83.59,54,92,18.39
Traverse City,44.76,31.57,94,90,9.89
Mataura,-46.19,72.07,46,12,7.65
Vaini,15.34,73.4,40,0,6.93
Busselton,-33.64,74.14,81,0,13.69
Dikson,73.51,-0.25,91,68,13.58
Port Hawkesbury,45.62,14.0,85,90,14.99
Ribeira Grande,38.52,62.04,98,92,15.66
Bredasdorp,-34.53,66.2,82,92,11.41
Anadyr,64.73,15.8,92,90,29.08
Mar del Plata,-46.43,56.46,92,0,4.52
Belaya Gora,68.54,-38.18,79,12,2.91
Mataura,-46.19,72.07,46,12,7.65
Dengfeng,34.46,43.9,49,24,16.15
Kapaa,22.08,74.62,70,90,17.22
Englewood,39.65,41.67,52,90,6.93
